pid,Danceability,Energy,Valence,Acousticness,Instrumentalness,Speechiness,Tempo
0,0.67512,0.7658400000000001,0.63368,0.088395356,0.0013699152,0.090516,0.5055066089824796
1,0.5298421052631579,0.6900526315789474,0.5388421052631579,0.13069105263157896,0.05120276315789474,0.09507368421052631,0.5084566922001803
2,0.7181666666666667,0.7718333333333334,0.5855,0.17426666666666665,8.681666666666667e-06,0.06403333333333333,0.47592740875301764
3,0.5623333333333332,0.5443333333333333,0.37023333333333336,0.3269666666666667,0.06282800000000001,0.07126666666666666,0.32734381847009425
4,0.5383333333333333,0.6007333333333333,0.3961666666666666,0.2782848333333333,1.5355e-05,0.04623333333333333,0.6945735831919114
5,0.6813214285714286,0.6694642857142857,0.5730714285714286,0.16275499999999998,0.0023646046428571427,0.05618571428571428,0.4370876855415063
6,0.45519999999999994,0.7110000000000001,0.5609999999999999,0.01892,0.0025789,0.0454,0.5787962808040729
7,0.7248,0.5311999999999999,0.6102000000000001,0.37455999999999995,0.0014989600000000001,0.06636,0.47157300953701264
8,0.5175,0.6965,0.5647,0.28753761,0.152924079,0.04543,0.5002569495900757
9,0.6022000000000001,0.6532,0.5218,0.3708,0.01122248,0.03258,0.5055250137438152
10,0.7251875,0.6435,0.47524999999999995,0.18836875,1.2978125e-05,0.15295,0.500269647680283
11,0.5915384615384615,0.6075384615384615,0.4276153846153846,0.19040553076923078,0.14004197923076925,0.06939230769230768,0.4939403104723275
12,0.6455714285714286,0.6487142857142858,0.5041428571428571,0.2663,3.301428571428571e-05,0.0678,0.4168772344370499
13,0.49466666666666664,0.25899999999999995,0.34,0.7333333333333334,0.00032033333333333333,0.04306666666666667,0.34958688879859134
14,0.5103409090909091,0.7562272727272727,0.5400909090909091,0.06694231363636363,0.017004707272727272,0.04352954545454545,0.4624338884458515
16,0.5361111111111111,0.5954444444444444,0.5321111111111111,0.257231,0.13298417222222222,0.0484,0.4242682580278488
17,0.6151851851851852,0.736074074074074,0.5735185185185185,0.12066555555555557,0.002589588148148148,0.051399999999999994,0.47839343873356827
18,0.6064736842105263,0.6036842105263158,0.49194736842105263,0.19572894736842103,7.466684210526316e-05,0.07365263157894737,0.5076235716810731
19,0.5167142857142857,0.3507142857142857,0.34785714285714286,0.7171571428571429,0.0021624285714285717,0.03542857142857143,0.47084945314980925
21,0.5408000000000001,0.484,0.40700000000000003,0.42824999999999996,0.000132185,0.033729999999999996,0.4188194660228984
22,0.6671538461538462,0.6191538461538462,0.45779230769230767,0.16684923076923075,0.03100583076923077,0.08769230769230768,0.39466905444389483
23,0.38380000000000003,0.9471999999999999,0.27799999999999997,0.00427482,0.0027544880000000002,0.10856000000000002,0.6132968425078279
24,0.7143333333333333,0.5426666666666667,0.5753333333333334,0.06348333333333334,1.1933333333333335e-05,0.034833333333333334,0.32757686577272116
25,0.7274,0.7016,0.6058,0.10727640000000001,0.0021263999999999996,0.08596000000000001,0.4236525085450677
26,0.70075,0.50125,0.54625,0.3139,0.0356538,0.049275,0.45012787723785164
27,0.47300000000000003,0.572,0.3825,0.12233999999999999,0.017093866666666666,0.037866666666666667,0.44910306666347966
28,0.6836315789473685,0.6941052631578948,0.513521052631579,0.1676537894736842,0.0014434294736842103,0.16338947368421053,0.4608018211027005
29,0.70275,0.5755833333333333,0.6254166666666666,0.19795991666666668,0.00018822833333333332,0.09141666666666666,0.40483105066488195
31,0.6803157894736842,0.7862631578947369,0.554421052631579,0.07704894736842105,0.011013637894736842,0.07902105263157895,0.415427416930116
